-11, 5, 6, -10, -6, -11, -1, -15, -14, 4, -8, -10, 3, -6, -1
-15, 5, 6, -10, -6, -11, -1, -11, -14, 4, -8, -10, 3, -6, -1
-15, -14, 6, -10, -6, -11, -1, -11, 5, 4, -8, -10, 3, -6, -1
-15, -14, -11, -10, -6, 6, -1, -11, 5, 4, -8, -10, 3, -6, -1
-15, -14, -11, -11, -6, 6, -1, -10, 5, 4, -8, -10, 3, -6, -1
-15, -14, -11, -11, -10, 6, -1, -6, 5, 4, -8, -10, 3, -6, -1
-15, -14, -11, -11, -10, -10, -1, -6, 5, 4, -8, 6, 3, -6, -1
-15, -14, -11, -11, -10, -10, -8, -6, 5, 4, -1, 6, 3, -6, -1
-15, -14, -11, -11, -10, -10, -8, -6, 5, 4, -1, 6, 3, -6, -1
-15, -14, -11, -11, -10, -10, -8, -6, -6, 4, -1, 6, 3, 5, -1
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, 4, 6, 3, 5, -1
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, -1, 6, 3, 5, 4
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, -1, 3, 6, 5, 4
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, -1, 3, 4, 5, 6
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, -1, 3, 4, 5, 6
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, -1, 3, 4, 5, 6
