-20, 0, -1, -6, -14, 3, -16, -14, -6, -6, -7, 5, -8, 2, -11, 9
-20, 0, -1, -6, -14, 3, -16, -14, -6, -6, -7, 5, -8, 2, -11, 9
-20, -16, -1, -6, -14, 3, 0, -14, -6, -6, -7, 5, -8, 2, -11, 9
-20, -16, -14, -6, -1, 3, 0, -14, -6, -6, -7, 5, -8, 2, -11, 9
-20, -16, -14, -14, -1, 3, 0, -6, -6, -6, -7, 5, -8, 2, -11, 9
-20, -16, -14, -14, -11, 3, 0, -6, -6, -6, -7, 5, -8, 2, -1, 9
-20, -16, -14, -14, -11, -8, 0, -6, -6, -6, -7, 5, 3, 2, -1, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, 0, 5, 3, 2, -1, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, 0, 5, 3, 2, -1, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, 0, 5, 3, 2, -1, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, 0, 5, 3, 2, -1, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, -1, 5, 3, 2, 0, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, -1, 0, 3, 2, 5, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, -1, 0, 2, 3, 5, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, -1, 0, 2, 3, 5, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, -1, 0, 2, 3, 5, 9
-20, -16, -14, -14, -11, -8, -7, -6, -6, -6, -1, 0, 2, 3, 5, 9
