-12, -8, 4, -15, -13, 0, 5, 7, 3, -5, 6, 6, -19, -19, -20, -7
-12, -8, 4, -15, -13, 0, 5, 7, 3, -5, 6, 6, -19, -19, -20, -7
-12, -8, 4, -15, -13, 0, 5, 7, 3, -5, 6, 6, -19, -19, -20, -7
-15, -12, -8, 4, -13, 0, 5, 7, 3, -5, 6, 6, -19, -19, -20, -7
-15, -13, -12, -8, 4, 0, 5, 7, 3, -5, 6, 6, -19, -19, -20, -7
-15, -13, -12, -8, 0, 4, 5, 7, 3, -5, 6, 6, -19, -19, -20, -7
-15, -13, -12, -8, 0, 4, 5, 7, 3, -5, 6, 6, -19, -19, -20, -7
-15, -13, -12, -8, 0, 4, 5, 7, 3, -5, 6, 6, -19, -19, -20, -7
-15, -13, -12, -8, 0, 3, 4, 5, 7, -5, 6, 6, -19, -19, -20, -7
-15, -13, -12, -8, -5, 0, 3, 4, 5, 7, 6, 6, -19, -19, -20, -7
-15, -13, -12, -8, -5, 0, 3, 4, 5, 6, 7, 6, -19, -19, -20, -7
-15, -13, -12, -8, -5, 0, 3, 4, 5, 6, 6, 7, -19, -19, -20, -7
-19, -15, -13, -12, -8, -5, 0, 3, 4, 5, 6, 6, 7, -19, -20, -7
-19, -19, -15, -13, -12, -8, -5, 0, 3, 4, 5, 6, 6, 7, -20, -7
-20, -19, -19, -15, -13, -12, -8, -5, 0, 3, 4, 5, 6, 6, 7, -7
-20, -19, -19, -15, -13, -12, -8, -7, -5, 0, 3, 4, 5, 6, 6, 7
-20, -19, -19, -15, -13, -12, -8, -7, -5, 0, 3, 4, 5, 6, 6, 7
