7, -16, 11, -7, -5, -14, -16, -5, -9, 1, -13, 4, -9
-16, 7, 11, -7, -5, -14, -16, -5, -9, 1, -13, 4, -9
-16, 7, 11, -7, -5, -14, -16, -5, -9, 1, -13, 4, -9
-16, -7, 7, 11, -5, -14, -16, -5, -9, 1, -13, 4, -9
-16, -7, -5, 7, 11, -14, -16, -5, -9, 1, -13, 4, -9
-16, -14, -7, -5, 7, 11, -16, -5, -9, 1, -13, 4, -9
-16, -16, -14, -7, -5, 7, 11, -5, -9, 1, -13, 4, -9
-16, -16, -14, -7, -5, -5, 7, 11, -9, 1, -13, 4, -9
-16, -16, -14, -9, -7, -5, -5, 7, 11, 1, -13, 4, -9
-16, -16, -14, -9, -7, -5, -5, 1, 7, 11, -13, 4, -9
-16, -16, -14, -13, -9, -7, -5, -5, 1, 7, 11, 4, -9
-16, -16, -14, -13, -9, -7, -5, -5, 1, 4, 7, 11, -9
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 4, 7, 11
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 4, 7, 11
