-11, 5, 6, -10, -6, -11, -1, -15, -14, 4, -8, -10, 3, -6, -1
-11, 5, 6, -10, -6, -11, -1, -15, -14, 4, -8, -10, 3, -6, -1
-11, 5, 6, -10, -6, -11, -1, -15, -14, 4, -8, -10, 3, -6, -1
-11, -10, 5, 6, -6, -11, -1, -15, -14, 4, -8, -10, 3, -6, -1
-11, -10, -6, 5, 6, -11, -1, -15, -14, 4, -8, -10, 3, -6, -1
-11, -11, -10, -6, 5, 6, -1, -15, -14, 4, -8, -10, 3, -6, -1
-11, -11, -10, -6, -1, 5, 6, -15, -14, 4, -8, -10, 3, -6, -1
-15, -11, -11, -10, -6, -1, 5, 6, -14, 4, -8, -10, 3, -6, -1
-15, -14, -11, -11, -10, -6, -1, 5, 6, 4, -8, -10, 3, -6, -1
-15, -14, -11, -11, -10, -6, -1, 4, 5, 6, -8, -10, 3, -6, -1
-15, -14, -11, -11, -10, -8, -6, -1, 4, 5, 6, -10, 3, -6, -1
-15, -14, -11, -11, -10, -10, -8, -6, -1, 4, 5, 6, 3, -6, -1
-15, -14, -11, -11, -10, -10, -8, -6, -1, 3, 4, 5, 6, -6, -1
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, 3, 4, 5, 6, -1
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, -1, 3, 4, 5, 6
-15, -14, -11, -11, -10, -10, -8, -6, -6, -1, -1, 3, 4, 5, 6
