4, -14, -17, 2, 9, -10, -10, -1, 9, -13, 1, -17, -14, -4, -20, 10, -10
-14, 4, -17, 2, 9, -10, -10, -1, 9, -13, 1, -17, -14, -4, -20, 10, -10
-17, -14, 4, 2, 9, -10, -10, -1, 9, -13, 1, -17, -14, -4, -20, 10, -10
-17, -14, 2, 4, 9, -10, -10, -1, 9, -13, 1, -17, -14, -4, -20, 10, -10
-17, -14, 2, 4, 9, -10, -10, -1, 9, -13, 1, -17, -14, -4, -20, 10, -10
-17, -14, -10, 2, 4, 9, -10, -1, 9, -13, 1, -17, -14, -4, -20, 10, -10
-17, -14, -10, -10, 2, 4, 9, -1, 9, -13, 1, -17, -14, -4, -20, 10, -10
-17, -14, -10, -10, -1, 2, 4, 9, 9, -13, 1, -17, -14, -4, -20, 10, -10
-17, -14, -10, -10, -1, 2, 4, 9, 9, -13, 1, -17, -14, -4, -20, 10, -10
-17, -14, -13, -10, -10, -1, 2, 4, 9, 9, 1, -17, -14, -4, -20, 10, -10
-17, -14, -13, -10, -10, -1, 1, 2, 4, 9, 9, -17, -14, -4, -20, 10, -10
-17, -17, -14, -13, -10, -10, -1, 1, 2, 4, 9, 9, -14, -4, -20, 10, -10
-17, -17, -14, -14, -13, -10, -10, -1, 1, 2, 4, 9, 9, -4, -20, 10, -10
-17, -17, -14, -14, -13, -10, -10, -4, -1, 1, 2, 4, 9, 9, -20, 10, -10
-20, -17, -17, -14, -14, -13, -10, -10, -4, -1, 1, 2, 4, 9, 9, 10, -10
-20, -17, -17, -14, -14, -13, -10, -10, -4, -1, 1, 2, 4, 9, 9, 10, -10
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 1, 2, 4, 9, 9, 10
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 1, 2, 4, 9, 9, 10
