-11, -19, 7, 5, 10, 1, 10, -19, -19, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -11, 7, 5, 10, 1, 10, -19, -19, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -11, 7, 5, 10, 1, 10, -19, -19, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -11, 5, 7, 10, 1, 10, -19, -19, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -11, 5, 7, 10, 1, 10, -19, -19, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -11, 1, 5, 7, 10, 10, -19, -19, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -11, 1, 5, 7, 10, 10, -19, -19, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -11, 1, 5, 7, 10, 10, -19, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -11, 1, 5, 7, 10, 10, -5, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -11, -5, 1, 5, 7, 10, 10, 6, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -11, -5, 1, 5, 6, 7, 10, 10, 3, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -11, -5, 1, 3, 5, 6, 7, 10, 10, -8, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -11, -8, -5, 1, 3, 5, 6, 7, 10, 10, -12, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -12, -11, -8, -5, 1, 3, 5, 6, 7, 10, 10, 7, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -12, -11, -8, -5, 1, 3, 5, 6, 7, 7, 10, 10, 1, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -12, -11, -8, -5, 1, 1, 3, 5, 6, 7, 7, 10, 10, -9, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -12, -11, -9, -8, -5, 1, 1, 3, 5, 6, 7, 7, 10, 10, -16, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -16, -12, -11, -9, -8, -5, 1, 1, 3, 5, 6, 7, 7, 10, 10, 5, 9, -2, -18, -2, -14, 2
-19, -19, -19, -16, -12, -11, -9, -8, -5, 1, 1, 3, 5, 5, 6, 7, 7, 10, 10, 9, -2, -18, -2, -14, 2
-19, -19, -19, -16, -12, -11, -9, -8, -5, 1, 1, 3, 5, 5, 6, 7, 7, 9, 10, 10, -2, -18, -2, -14, 2
-19, -19, -19, -16, -12, -11, -9, -8, -5, -2, 1, 1, 3, 5, 5, 6, 7, 7, 9, 10, 10, -18, -2, -14, 2
-19, -19, -19, -18, -16, -12, -11, -9, -8, -5, -2, 1, 1, 3, 5, 5, 6, 7, 7, 9, 10, 10, -2, -14, 2
-19, -19, -19, -18, -16, -12, -11, -9, -8, -5, -2, -2, 1, 1, 3, 5, 5, 6, 7, 7, 9, 10, 10, -14, 2
-19, -19, -19, -18, -16, -14, -12, -11, -9, -8, -5, -2, -2, 1, 1, 3, 5, 5, 6, 7, 7, 9, 10, 10, 2
-19, -19, -19, -18, -16, -14, -12, -11, -9, -8, -5, -2, -2, 1, 1, 2, 3, 5, 5, 6, 7, 7, 9, 10, 10
-19, -19, -19, -18, -16, -14, -12, -11, -9, -8, -5, -2, -2, 1, 1, 2, 3, 5, 5, 6, 7, 7, 9, 10, 10
