7, -16, 11, -7, -5, -14, -16, -5, -9, 1, -13, 4, -9
-16, 7, 11, -7, -5, -14, -16, -5, -9, 1, -13, 4, -9
-16, -16, 11, -7, -5, -14, 7, -5, -9, 1, -13, 4, -9
-16, -16, -14, -7, -5, 11, 7, -5, -9, 1, -13, 4, -9
-16, -16, -14, -13, -5, 11, 7, -5, -9, 1, -7, 4, -9
-16, -16, -14, -13, -9, 11, 7, -5, -5, 1, -7, 4, -9
-16, -16, -14, -13, -9, -9, 7, -5, -5, 1, -7, 4, 11
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 7, 4, 11
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 7, 4, 11
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 7, 4, 11
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 7, 4, 11
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 4, 7, 11
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 4, 7, 11
-16, -16, -14, -13, -9, -9, -7, -5, -5, 1, 4, 7, 11
