4, -14, -17, 2, 9, -10, -10, -1, 9, -13, 1, -17, -14, -4, -20, 10, -10
-20, -14, -17, 2, 9, -10, -10, -1, 9, -13, 1, -17, -14, -4, 4, 10, -10
-20, -17, -14, 2, 9, -10, -10, -1, 9, -13, 1, -17, -14, -4, 4, 10, -10
-20, -17, -17, 2, 9, -10, -10, -1, 9, -13, 1, -14, -14, -4, 4, 10, -10
-20, -17, -17, -14, 9, -10, -10, -1, 9, -13, 1, 2, -14, -4, 4, 10, -10
-20, -17, -17, -14, -14, -10, -10, -1, 9, -13, 1, 2, 9, -4, 4, 10, -10
-20, -17, -17, -14, -14, -13, -10, -1, 9, -10, 1, 2, 9, -4, 4, 10, -10
-20, -17, -17, -14, -14, -13, -10, -1, 9, -10, 1, 2, 9, -4, 4, 10, -10
-20, -17, -17, -14, -14, -13, -10, -10, 9, -1, 1, 2, 9, -4, 4, 10, -10
-20, -17, -17, -14, -14, -13, -10, -10, -10, -1, 1, 2, 9, -4, 4, 10, 9
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, 1, 2, 9, -1, 4, 10, 9
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 2, 9, 1, 4, 10, 9
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 1, 9, 2, 4, 10, 9
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 1, 2, 9, 4, 10, 9
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 1, 2, 4, 9, 10, 9
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 1, 2, 4, 9, 10, 9
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 1, 2, 4, 9, 9, 10
-20, -17, -17, -14, -14, -13, -10, -10, -10, -4, -1, 1, 2, 4, 9, 9, 10
