4, -15, 11, -16, 10, -6, -10, 7, -7, -15, -10, -17, -9, -9, 0, -3, -6, -10, 6, -19
-19, 4, 11, -15, 10, -6, -10, 7, -7, -15, -10, -16, -9, -9, 0, -3, -6, -10, 6, -17
-19, -17, 11, 4, 10, -6, -10, 7, -7, -15, -10, -15, -9, -9, 0, -3, -6, -10, 6, -16
-19, -17, -16, 11, 10, 4, -6, 7, -7, -10, -10, -15, -9, -9, 0, -3, -6, -10, 6, -15
-19, -17, -16, -15, 11, 10, 4, 7, -6, -7, -10, -10, -9, -9, 0, -3, -6, -10, 6, -15
-19, -17, -16, -15, -15, 11, 10, 7, 4, -6, -7, -10, -9, -9, 0, -3, -6, -10, 6, -10
-19, -17, -16, -15, -15, -10, 11, 10, 7, 4, -6, -7, -9, -9, 0, -3, -6, -10, 6, -10
-19, -17, -16, -15, -15, -10, -10, 11, 10, 7, 4, -6, -7, -9, 0, -3, -6, -9, 6, -10
-19, -17, -16, -15, -15, -10, -10, -10, 11, 10, 7, 4, -6, -7, 0, -3, -6, -9, 6, -9
-19, -17, -16, -15, -15, -10, -10, -10, -9, 11, 10, 7, 4, -6, 0, -3, -6, -7, 6, -9
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, 11, 10, 7, 4, 0, -3, -6, -6, 6, -7
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, 11, 10, 7, 4, 0, -3, -6, 6, -6
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, 11, 10, 7, 4, 0, -3, 6, -6
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, -6, 11, 10, 7, 4, 0, 6, -3
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, -6, -3, 11, 10, 7, 4, 6, 0
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, -6, -3, 0, 11, 10, 7, 6, 4
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, -6, -3, 0, 4, 11, 10, 7, 6
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, -6, -3, 0, 4, 6, 11, 10, 7
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, -6, -3, 0, 4, 6, 7, 11, 10
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, -6, -3, 0, 4, 6, 7, 10, 11
-19, -17, -16, -15, -15, -10, -10, -10, -9, -9, -7, -6, -6, -3, 0, 4, 6, 7, 10, 11
