1, 9, -17, -3, 2, -16, -20, 11, -3, -5, 5, -4, -6, 11, -6, -14, 8, -3, 7
1, -17, -3, 2, -16, -20, 9, -3, -5, 5, -4, -6, 11, -6, -14, 8, -3, 7, 11
-17, -3, 1, -16, -20, 2, -3, -5, 5, -4, -6, 9, -6, -14, 8, -3, 7, 11, 11
-17, -3, -16, -20, 1, -3, -5, 2, -4, -6, 5, -6, -14, 8, -3, 7, 9, 11, 11
-17, -16, -20, -3, -3, -5, 1, -4, -6, 2, -6, -14, 5, -3, 7, 8, 9, 11, 11
-17, -20, -16, -3, -5, -3, -4, -6, 1, -6, -14, 2, -3, 5, 7, 8, 9, 11, 11
-20, -17, -16, -5, -3, -4, -6, -3, -6, -14, 1, -3, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -5, -4, -6, -3, -6, -14, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -5, -6, -4, -6, -14, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -6, -5, -6, -14, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -6, -6, -14, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -6, -14, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -14, -6, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -14, -6, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -14, -6, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -14, -6, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -14, -6, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -14, -6, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -14, -6, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
-20, -17, -16, -14, -6, -6, -5, -4, -3, -3, -3, 1, 2, 5, 7, 8, 9, 11, 11
