7, -18, -11, -6, -19, -15, -18, 11, -20, 9, -14, -2, -6, 3, -2, 10, 11, -8, 1, -3, -8
-18, -11, -6, -19, -15, -18, 7, -20, 9, -14, -2, -6, 3, -2, 10, 11, -8, 1, -3, -8, 11
-18, -11, -19, -15, -18, -6, -20, 7, -14, -2, -6, 3, -2, 9, 10, -8, 1, -3, -8, 11, 11
-18, -19, -15, -18, -11, -20, -6, -14, -2, -6, 3, -2, 7, 9, -8, 1, -3, -8, 10, 11, 11
-19, -18, -18, -15, -20, -11, -14, -6, -6, -2, -2, 3, 7, -8, 1, -3, -8, 9, 10, 11, 11
-19, -18, -18, -20, -15, -14, -11, -6, -6, -2, -2, 3, -8, 1, -3, -8, 7, 9, 10, 11, 11
-19, -18, -20, -18, -15, -14, -11, -6, -6, -2, -2, -8, 1, -3, -8, 3, 7, 9, 10, 11, 11
-19, -20, -18, -18, -15, -14, -11, -6, -6, -2, -8, -2, -3, -8, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -6, -6, -8, -2, -3, -8, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -6, -8, -6, -3, -8, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -6, -6, -8, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -6, -8, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
-20, -19, -18, -18, -15, -14, -11, -8, -8, -6, -6, -3, -2, -2, 1, 3, 7, 9, 10, 11, 11
