-19, -18, 4, -12, -14, -3, 8, -9, 7, 4, 2, -10, 1, -6, -2, -11, 0, 6, -17, -12, -15, -17
-19, -18, -12, -14, -3, 4, -9, 7, 4, 2, -10, 1, -6, -2, -11, 0, 6, -17, -12, -15, -17, 8
-19, -18, -14, -12, -3, -9, 4, 4, 2, -10, 1, -6, -2, -11, 0, 6, -17, -12, -15, -17, 7, 8
-19, -18, -14, -12, -9, -3, 4, 2, -10, 1, -6, -2, -11, 0, 4, -17, -12, -15, -17, 6, 7, 8
-19, -18, -14, -12, -9, -3, 2, -10, 1, -6, -2, -11, 0, 4, -17, -12, -15, -17, 4, 6, 7, 8
-19, -18, -14, -12, -9, -3, -10, 1, -6, -2, -11, 0, 2, -17, -12, -15, -17, 4, 4, 6, 7, 8
-19, -18, -14, -12, -9, -10, -3, -6, -2, -11, 0, 1, -17, -12, -15, -17, 2, 4, 4, 6, 7, 8
-19, -18, -14, -12, -10, -9, -6, -3, -11, -2, 0, -17, -12, -15, -17, 1, 2, 4, 4, 6, 7, 8
-19, -18, -14, -12, -10, -9, -6, -11, -3, -2, -17, -12, -15, -17, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -14, -12, -10, -9, -11, -6, -3, -17, -12, -15, -17, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -14, -12, -10, -11, -9, -6, -17, -12, -15, -17, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -14, -12, -11, -10, -9, -17, -12, -15, -17, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -14, -12, -11, -10, -17, -12, -15, -17, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -14, -12, -11, -17, -12, -15, -17, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -14, -12, -17, -12, -15, -17, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -14, -17, -12, -15, -17, -12, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -17, -14, -15, -17, -12, -12, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -17, -15, -17, -14, -12, -12, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -17, -17, -15, -14, -12, -12, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -17, -17, -15, -14, -12, -12, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -17, -17, -15, -14, -12, -12, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -17, -17, -15, -14, -12, -12, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
-19, -18, -17, -17, -15, -14, -12, -12, -11, -10, -9, -6, -3, -2, 0, 1, 2, 4, 4, 6, 7, 8
