10, 4, -7, 2, -8, 10, -20, 7, -1, -20, 2, -10, 6, -1, 5, -13, -15, -8, -13, -2, -16, 1, 7, 0, 3, 9, -19, 5, 3, -2, 2, -4, -17, 6, -5
-20, 4, -7, 2, -8, 10, 10, 7, -1, -20, 2, -10, 6, -1, 5, -13, -15, -8, -13, -2, -16, 1, 7, 0, 3, 9, -19, 5, 3, -2, 2, -4, -17, 6, -5
-20, -20, -7, 2, -8, 10, 10, 7, -1, 4, 2, -10, 6, -1, 5, -13, -15, -8, -13, -2, -16, 1, 7, 0, 3, 9, -19, 5, 3, -2, 2, -4, -17, 6, -5
-20, -20, -19, 2, -8, 10, 10, 7, -1, 4, 2, -10, 6, -1, 5, -13, -15, -8, -13, -2, -16, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, -17, 6, -5
-20, -20, -19, -17, -8, 10, 10, 7, -1, 4, 2, -10, 6, -1, 5, -13, -15, -8, -13, -2, -16, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, 2, 6, -5
-20, -20, -19, -17, -16, 10, 10, 7, -1, 4, 2, -10, 6, -1, 5, -13, -15, -8, -13, -2, -8, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, 2, 6, -5
-20, -20, -19, -17, -16, -15, 10, 7, -1, 4, 2, -10, 6, -1, 5, -13, 10, -8, -13, -2, -8, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, 2, 6, -5
-20, -20, -19, -17, -16, -15, -13, 7, -1, 4, 2, -10, 6, -1, 5, 10, 10, -8, -13, -2, -8, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, 2, 6, -5
-20, -20, -19, -17, -16, -15, -13, -13, -1, 4, 2, -10, 6, -1, 5, 10, 10, -8, 7, -2, -8, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, 2, 6, -5
-20, -20, -19, -17, -16, -15, -13, -13, -10, 4, 2, -1, 6, -1, 5, 10, 10, -8, 7, -2, -8, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, 2, 6, -5
-20, -20, -19, -17, -16, -15, -13, -13, -10, -8, 2, -1, 6, -1, 5, 10, 10, 4, 7, -2, -8, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, 2, 6, -5
-20, -20, -19, -17, -16, -15, -13, -13, -10, -8, -8, -1, 6, -1, 5, 10, 10, 4, 7, -2, 2, 1, 7, 0, 3, 9, -7, 5, 3, -2, 2, -4, 2, 6, -5
