-18, -8, 6, -4, 4, -10, -3, -6, -20, -3, -5, -11, 2, -7, -19, -15, 6, -13, 7, -4, -8, -12, -4, -4, 10, -4, -5, 8, -15, -11, 5, 9, 1, -20, 7, 6, 8, -6, 11, -11
-20, -8, 6, -4, 4, -10, -3, -6, -18, -3, -5, -11, 2, -7, -19, -15, 6, -13, 7, -4, -8, -12, -4, -4, 10, -4, -5, 8, -15, -11, 5, 9, 1, -20, 7, 6, 8, -6, 11, -11
-20, -20, 6, -4, 4, -10, -3, -6, -18, -3, -5, -11, 2, -7, -19, -15, 6, -13, 7, -4, -8, -12, -4, -4, 10, -4, -5, 8, -15, -11, 5, 9, 1, -8, 7, 6, 8, -6, 11, -11
-20, -20, -19, -4, 4, -10, -3, -6, -18, -3, -5, -11, 2, -7, 6, -15, 6, -13, 7, -4, -8, -12, -4, -4, 10, -4, -5, 8, -15, -11, 5, 9, 1, -8, 7, 6, 8, -6, 11, -11
-20, -20, -19, -18, 4, -10, -3, -6, -4, -3, -5, -11, 2, -7, 6, -15, 6, -13, 7, -4, -8, -12, -4, -4, 10, -4, -5, 8, -15, -11, 5, 9, 1, -8, 7, 6, 8, -6, 11, -11
-20, -20, -19, -18, -15, -10, -3, -6, -4, -3, -5, -11, 2, -7, 6, 4, 6, -13, 7, -4, -8, -12, -4, -4, 10, -4, -5, 8, -15, -11, 5, 9, 1, -8, 7, 6, 8, -6, 11, -11
-20, -20, -19, -18, -15, -15, -3, -6, -4, -3, -5, -11, 2, -7, 6, 4, 6, -13, 7, -4, -8, -12, -4, -4, 10, -4, -5, 8, -10, -11, 5, 9, 1, -8, 7, 6, 8, -6, 11, -11
-20, -20, -19, -18, -15, -15, -13, -6, -4, -3, -5, -11, 2, -7, 6, 4, 6, -3, 7, -4, -8, -12, -4, -4, 10, -4, -5, 8, -10, -11, 5, 9, 1, -8, 7, 6, 8, -6, 11, -11
-20, -20, -19, -18, -15, -15, -13, -12, -4, -3, -5, -11, 2, -7, 6, 4, 6, -3, 7, -4, -8, -6, -4, -4, 10, -4, -5, 8, -10, -11, 5, 9, 1, -8, 7, 6, 8, -6, 11, -11
-20, -20, -19, -18, -15, -15, -13, -12, -11, -3, -5, -4, 2, -7, 6, 4, 6, -3, 7, -4, -8, -6, -4, -4, 10, -4, -5, 8, -10, -11, 5, 9, 1, -8, 7, 6, 8, -6, 11, -11
