4, -16, -14, 9, 8, -17, -9, -10, -3, -15, -4, -8, -6, -7, -8, 11, -11, 1, -18, -15, -19, 1, 5, -17, -19, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -19
-19, -16, -14, 9, 8, -17, -9, -10, -3, -15, -4, -8, -6, -7, -8, 11, -11, 1, -18, -15, 4, 1, 5, -17, -19, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -19
-19, -19, -14, 9, 8, -17, -9, -10, -3, -15, -4, -8, -6, -7, -8, 11, -11, 1, -18, -15, 4, 1, 5, -17, -16, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -19
-19, -19, -19, 9, 8, -17, -9, -10, -3, -15, -4, -8, -6, -7, -8, 11, -11, 1, -18, -15, 4, 1, 5, -17, -16, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -14
-19, -19, -19, -18, 8, -17, -9, -10, -3, -15, -4, -8, -6, -7, -8, 11, -11, 1, 9, -15, 4, 1, 5, -17, -16, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -14
-19, -19, -19, -18, -17, 8, -9, -10, -3, -15, -4, -8, -6, -7, -8, 11, -11, 1, 9, -15, 4, 1, 5, -17, -16, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -14
-19, -19, -19, -18, -17, -17, -9, -10, -3, -15, -4, -8, -6, -7, -8, 11, -11, 1, 9, -15, 4, 1, 5, 8, -16, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -14
-19, -19, -19, -18, -17, -17, -16, -10, -3, -15, -4, -8, -6, -7, -8, 11, -11, 1, 9, -15, 4, 1, 5, 8, -9, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -14
-19, -19, -19, -18, -17, -17, -16, -15, -3, -10, -4, -8, -6, -7, -8, 11, -11, 1, 9, -15, 4, 1, 5, 8, -9, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -14
-19, -19, -19, -18, -17, -17, -16, -15, -15, -10, -4, -8, -6, -7, -8, 11, -11, 1, 9, -3, 4, 1, 5, 8, -9, -9, -7, 9, -11, -12, -8, -13, -15, 8, -1, 0, -5, 0, -14, 3, -2, -5, -14
-19, -19, -19, -18, -17, -17, -16, -15, -15, -15, -4, -8, -6, -7, -8, 11, -11, 1, 9, -3, 4, 1, 5, 8, -9, -9, -7, 9, -11, -12, -8, -13, -10, 8, -1, 0, -5, 0, -14, 3, -2, -5, -14
-19, -19, -19, -18, -17, -17, -16, -15, -15, -15, -14, -8, -6, -7, -8, 11, -11, 1, 9, -3, 4, 1, 5, 8, -9, -9, -7, 9, -11, -12, -8, -13, -10, 8, -1, 0, -5, 0, -4, 3, -2, -5, -14
-19, -19, -19, -18, -17, -17, -16, -15, -15, -15, -14, -14, -6, -7, -8, 11, -11, 1, 9, -3, 4, 1, 5, 8, -9, -9, -7, 9, -11, -12, -8, -13, -10, 8, -1, 0, -5, 0, -4, 3, -2, -5, -8
-19, -19, -19, -18, -17, -17, -16, -15, -15, -15, -14, -14, -13, -7, -8, 11, -11, 1, 9, -3, 4, 1, 5, 8, -9, -9, -7, 9, -11, -12, -8, -6, -10, 8, -1, 0, -5, 0, -4, 3, -2, -5, -8
-19, -19, -19, -18, -17, -17, -16, -15, -15, -15, -14, -14, -13, -12, -8, 11, -11, 1, 9, -3, 4, 1, 5, 8, -9, -9, -7, 9, -11, -7, -8, -6, -10, 8, -1, 0, -5, 0, -4, 3, -2, -5, -8
-19, -19, -19, -18, -17, -17, -16, -15, -15, -15, -14, -14, -13, -12, -11, 11, -8, 1, 9, -3, 4, 1, 5, 8, -9, -9, -7, 9, -11, -7, -8, -6, -10, 8, -1, 0, -5, 0, -4, 3, -2, -5, -8
